sensor_id,prediction,truth
404451,62.45706,61.899998
404452,66.14358,64.9
404453,50.38822,48.9
404461,65.56884,65.1
404462,66.82462,66.7
404521,55.39292,48.6
404522,58.18474,60.0
404553,66.64519,66.8
404554,64.10055,63.6
404585,61.023174,26.400002
404586,56.97026,42.2
404640,64.7963,64.5
404753,61.120506,65.5
404759,62.039097,60.1
405613,67.29024,66.1
405619,65.43867,65.9
405701,59.37115,45.4
407150,65.869774,64.8
407151,65.502304,64.9
407152,62.82098,62.8
407153,62.770523,62.5
407155,65.12134,64.0
407157,63.954838,62.7
407161,63.812473,62.899998
407165,67.558266,69.9
407172,66.517975,70.2
407173,65.94579,64.6
407174,60.765804,62.6
407176,64.89633,65.9
407177,64.46808,65.4
407179,63.98081,64.9
407180,61.75894,61.3
407181,61.419132,60.7
407184,62.053585,62.399998
407185,62.224113,63.8
407186,63.444572,65.0
407187,64.83685,66.2
407190,61.812153,62.6
407191,64.17354,67.7
407194,63.44328,63.399998
407200,65.57008,67.3
407202,65.201744,64.7
407204,65.14737,63.5
407206,63.25317,57.5
407207,62.11328,61.2
407321,65.63003,64.9
407323,65.14882,63.3
407325,64.61145,62.5
407328,63.207016,61.2
407331,61.45204,60.3
407332,64.58767,61.7
407335,62.000267,57.7
407336,62.16368,55.8
407337,64.18187,63.1
407339,62.969673,62.1
407341,63.68971,64.2
407342,62.57074,61.2
407344,66.76869,66.3
407348,66.99768,66.9
407352,64.300964,62.399998
407359,64.67221,64.6
407360,66.06238,64.6
407361,65.20117,62.899998
407364,65.41717,65.0
407367,66.899185,64.1
407370,66.960266,65.8
407372,65.40413,64.2
407373,62.64324,61.8
407374,68.962425,67.2
407710,45.55285,35.100002
407711,70.51883,69.1
408907,68.112854,67.8
408911,62.807487,60.1
409524,64.2372,64.3
409525,60.80485,61.8
409526,60.37583,62.7
409528,63.73164,63.8
409529,59.13582,57.3
413026,65.86032,65.0
413845,39.60719,50.6
413877,68.07658,67.9
413878,62.62552,59.8
414284,64.45508,65.8
414694,61.700615,58.899998
