sensor_id,prediction,truth
404453,46.58841,45.2
404461,65.038795,63.7
404462,66.73698,67.0
404521,52.077374,52.5
404522,54.34017,46.699997
404553,66.902466,66.3
404554,64.34992,63.0
404585,57.14083,19.300003
404586,55.678837,34.9
404640,64.64024,63.7
404753,58.523094,48.1
404759,62.326218,60.2
405613,66.28752,64.8
405619,65.16998,64.6
405701,28.001225,19.200005
407150,64.59114,65.6
407151,64.473946,66.2
407152,62.067493,63.399998
407153,61.973145,62.8
407155,63.80659,64.6
407157,61.91041,61.899998
407161,62.32593,62.1
407165,66.497734,68.3
407172,65.16386,69.9
407173,64.379105,68.3
407174,59.266502,62.8
407176,61.710728,63.7
407177,61.906273,62.899998
407179,60.684547,63.1
407180,59.663616,60.399998
407181,59.447895,60.899998
407184,62.22956,63.8
407185,62.64394,62.899998
407186,64.05682,64.5
407187,65.0491,65.4
407190,62.63053,62.2
407191,63.929283,64.9
407194,62.165295,63.2
407200,65.28034,66.3
407202,63.927723,65.7
407204,64.74944,66.7
407206,63.66986,63.8
407207,62.22481,62.399998
407321,63.178432,61.0
407323,64.51232,64.9
407325,63.315903,62.2
407328,60.58516,56.7
407331,60.242687,57.0
407332,62.109123,60.2
407335,58.59801,55.1
407336,58.75614,61.1
407337,61.182213,58.4
407339,60.625877,56.7
407341,61.110146,60.399998
407342,59.45284,56.5
407344,65.3796,64.3
407348,66.93787,65.8
407352,64.39541,61.2
407359,64.5561,63.7
407360,65.44633,65.8
407361,65.13021,64.5
407364,65.14995,66.0
407367,66.20584,59.2
407370,67.01901,66.8
407372,64.88719,65.1
407373,61.95577,61.0
407374,68.91636,67.1
407710,22.630867,22.5
407711,69.40911,69.6
408907,66.712715,65.9
408911,54.46887,43.0
409524,63.13495,63.1
409525,60.149597,60.399998
409526,59.433784,45.4
409528,63.617874,64.6
409529,59.704353,56.3
413026,65.55959,63.6
413845,35.040474,41.4
413877,66.21594,45.5
413878,57.442017,53.4
414284,59.875584,29.599998
414694,42.593353,24.600002
